chrom	start	end	gene	p
NC_037648.1	6459350	6459499	rna-XM_006571849.3	4.545e-08
NC_037645.1	11865100	11865455	rna-NM_001098717.1	4.966e-08
NC_037645.1	1314074	1314329	rna-XM_006558195.3	5.051e-08
NC_037647.1	10001676	10001785	rna-XM_016914362.2	5.287e-08
NC_037645.1	3888617	3889185	rna-XM_016913506.2	5.957e-08
NC_037640.1	10254945	10255065	rna-XM_003251105.3	6.792e-08
NC_037649.1	8604743	8604959	rna-XM_006565259.3	7.185e-08
NC_037640.1	3671	3782	rna-XR_003304343.1	7.320e-08
NC_037645.1	1313069	1313421	rna-XM_006558195.3	9.096e-08
NC_037651.1	10561976	10562140	rna-XM_396730.5	9.371e-08
NC_037647.1	10001877	10002089	rna-XM_016914362.2	1.002e-07
NC_037642.1	547423	547586	rna-XM_026440794.1	1.042e-07
NC_037652.1	7448925	7448983	rna-XM_016916809.1	1.082e-07
NC_037644.1	2323455	2323647	rna-XM_026441733.1	1.203e-07
NC_037651.1	10561385	10561627	rna-XM_396730.5	1.208e-07
NC_037642.1	5881925	5882029	rna-XM_006562134.3	1.223e-07
NC_037645.1	1313767	1313979	rna-XM_006558195.3	1.234e-07
NC_037649.1	7777175	7777286	rna-XM_006565161.3	1.344e-07
NC_037640.1	4578126	4578755	rna-XM_006560497.3	1.449e-07
NC_037645.1	1310304	1310436	rna-XM_016913644.2	1.526e-07
NC_037647.1	10002365	10002541	rna-XM_016914362.2	1.556e-07
NC_037648.1	6918886	6919021	rna-XM_624533.6	1.614e-07
NC_037645.1	11866017	11866438	rna-NM_001098717.1	1.618e-07
NC_037648.1	13616652	13616896	rna-XM_001121305.5	1.685e-07
NC_037646.1	7851326	7851428	rna-XR_409185.3	1.723e-07
NC_037650.1	5743873	5744046	rna-XM_016915768.2	1.753e-07
NC_037650.1	5744164	5744267	rna-XM_016915768.2	1.866e-07
NC_037639.1	14391355	14391372	rna-NM_001040256.1	1.933e-07
NC_037640.1	11675978	11676094	rna-XM_026439759.1	1.994e-07
NC_037645.1	1313528	1313688	rna-XM_006558195.3	2.091e-07
NC_037649.1	8605030	8605177	rna-XM_006565259.3	2.151e-07
NC_037649.1	7687969	7688092	rna-XM_396066.6	2.228e-07
NC_037644.1	2085841	2085986	rna-XM_006559811.3	2.264e-07
NC_037638.1	5648715	5648878	rna-XM_026445103.1	2.279e-07
NC_037652.1	7695079	7695248	rna-XM_001120608.4	2.287e-07
NC_037645.1	1312563	1313000	rna-XM_006558195.3	2.318e-07
NC_037638.1	2044925	2044972	rna-XM_397274.7	2.464e-07
NC_037651.1	8719730	8720120	rna-XM_006564875.3	2.603e-07
NC_037652.1	6525334	6525529	rna-XM_016916600.2	2.722e-07
NC_037642.1	13714657	13715460	rna-XM_016912100.2	2.796e-07
NC_037648.1	6935734	6935913	rna-XM_624533.6	3.020e-07
NC_037638.1	5380538	5380827	rna-XM_001119962.5	3.208e-07
NC_037652.1	8835729	8835944	rna-NM_001172718.1	3.267e-07
NC_037642.1	547673	547758	rna-XM_026440794.1	3.378e-07
NC_037649.1	4256311	4256431	rna-XM_396194.7	3.468e-07
NC_037645.1	1314399	1314477	rna-XM_623907.6	3.873e-07
NC_037644.1	2085662	2085746	rna-XM_006559811.3	4.012e-07
NC_037641.1	12143927	12144126	rna-XM_625028.6	4.106e-07
NC_037640.1	1960045	1960258	rna-XM_026439395.1	4.191e-07
NC_037645.1	1310517	1312492	rna-XM_006558195.3	4.192e-07
NC_037652.1	1960806	1960878	rna-NM_001040206.1	4.194e-07
NC_037652.1	6524648	6524817	rna-XM_016916600.2	4.206e-07
NC_037652.1	1944893	1944965	rna-NM_001040227.1	4.378e-07
NC_037640.1	1960366	1961114	rna-XM_026439395.1	4.466e-07
NC_037647.1	10002175	10002290	rna-XM_016914362.2	4.530e-07
NC_037640.1	3523	3782	rna-XR_003304316.1	4.827e-07
NC_037644.1	8979617	8979955	rna-XM_026441833.1	4.915e-07
NW_020555822.1	14818	15062	rna-XR_003306387.1	5.196e-07
NC_037644.1	2085416	2085565	rna-XM_006559811.3	5.351e-07
NC_037640.1	2599	2714	rna-XR_003304316.1	6.305e-07
NC_037640.1	1959660	1959965	rna-XM_026439395.1	6.882e-07
NC_037644.1	2086618	2086845	rna-XM_006559811.3	6.916e-07
NC_037638.1	14136896	14137036	rna-XM_006572290.3	7.162e-07
NC_037652.1	7695079	7695245	rna-XM_006563570.3	7.402e-07
NC_037645.1	8771745	8771842	rna-XM_026442280.1	7.456e-07
NC_037643.1	13183926	13184014	rna-XM_006562440.3	8.214e-07
NC_037644.1	8980031	8980187	rna-XM_026441833.1	8.244e-07
NC_037644.1	2959806	2960116	rna-XM_006560136.3	8.406e-07
NC_037645.1	8772201	8772285	rna-XM_026442279.1	8.412e-07
NC_037644.1	8978548	8979274	rna-XM_026441833.1	8.760e-07
NC_037641.1	10033379	10033414	rna-XM_006565936.3	8.933e-07
NC_037645.1	1309754	1310200	rna-XM_006558195.3	9.679e-07
NC_037647.1	7057606	7058023	rna-XM_001119907.4	9.883e-07
NC_037640.1	11689020	11689296	rna-XR_411188.3	1.075e-06
NC_037649.1	4256090	4256227	rna-XM_396194.7	1.078e-06
NC_037647.1	6455945	6456068	rna-XM_003250137.4	1.096e-06
NC_037648.1	13445159	13445239	rna-XM_016914782.2	1.271e-06
NC_037645.1	8770937	8771096	rna-XM_026442280.1	1.297e-06
NC_037652.1	5755600	5755799	rna-XM_392078.7	1.335e-06
NC_037644.1	8977982	8978321	rna-XM_026441833.1	1.398e-06
NC_037642.1	13714657	13716548	rna-XM_026440612.1	1.425e-06
NC_037638.1	22808360	22808416	rna-XM_623115.6	1.435e-06
NC_037648.1	13617018	13617337	rna-XM_001121305.5	1.437e-06
NC_037646.1	6532271	6533300	rna-XM_006561615.3	1.524e-06
NC_037644.1	8980684	8980850	rna-XM_026441833.1	1.547e-06
NC_037644.1	8917474	8918214	rna-XM_026441831.1	1.654e-06
NC_037642.1	13714657	13714903	rna-XM_016912101.2	1.767e-06
NC_037641.1	12144214	12144299	rna-XM_625028.6	1.939e-06
NC_037639.1	15723601	15723639	rna-XM_026438860.1	2.041e-06
NC_037638.1	22591559	22591641	rna-XM_395396.7	2.082e-06
NC_037639.1	9679781	9679876	rna-XM_001120754.5	2.102e-06
NC_037647.1	12092777	12092822	rna-XM_006569685.3	2.185e-06
NC_037639.1	15713959	15714015	rna-XM_026438857.1	2.252e-06
NC_037652.1	6524883	6525065	rna-XM_016916600.2	2.578e-06
NC_037638.1	25148479	25148688	rna-XM_026446323.1	2.802e-06
NC_037649.1	7657617	7657672	rna-XM_006565152.3	2.841e-06
NC_037652.1	2233289	2233729	rna-XM_006559032.3	2.844e-06
NC_037638.1	11483663	11484124	rna-XM_016917173.2	3.056e-06
NC_037638.1	15873682	15873895	rna-XM_393186.7	3.238e-06
NC_037648.1	9459378	9459415	rna-XM_006564350.3	3.485e-06
NC_037644.1	8649640	8649752	rna-XM_006564269.3	3.678e-06
NC_037639.1	6971935	6971961	rna-XM_026438940.1	3.694e-06
NC_037644.1	8965252	8965653	rna-XM_026441833.1	3.734e-06
NC_037639.1	15614077	15614156	rna-XM_006568762.3	3.801e-06
NC_037647.1	11506528	11506716	rna-NM_001098223.1	3.825e-06
NC_037643.1	14155064	14155871	rna-XM_016912786.2	4.690e-06
NC_037647.1	7057422	7057524	rna-XM_001119907.4	5.159e-06
NC_037647.1	10318939	10319057	rna-XM_006566133.3	5.234e-06
NC_037644.1	8981010	8981139	rna-XM_026441833.1	5.478e-06
NC_037650.1	2427320	2427469	rna-XM_006557810.3	5.577e-06
NC_037638.1	15725270	15725799	rna-XM_397116.7	5.971e-06
NW_020555822.1	13970	14064	rna-XR_003306384.1	6.005e-06
NC_037638.1	14295350	14295435	rna-XM_006570581.3	6.431e-06
NC_037638.1	26197945	26198071	rna-XM_026446186.1	6.822e-06
NC_037645.1	12560262	12560323	rna-XM_006569805.3	6.839e-06
NC_037647.1	10012212	10012321	rna-XM_026443253.1	7.094e-06
NC_037645.1	11867059	11867392	rna-NM_001098717.1	7.596e-06
NC_037652.1	6525602	6525845	rna-XM_016916600.2	7.682e-06
NC_037644.1	2960260	2960498	rna-XM_006560136.3	8.148e-06
NC_037647.1	11508437	11508566	rna-NM_001098223.1	8.528e-06
NC_037645.1	9509950	9510112	rna-XM_016913627.2	8.795e-06
NC_037641.1	5468495	5468584	rna-XM_026440411.1	9.093e-06
NC_037644.1	2959500	2959724	rna-XM_006560136.3	9.486e-06
NC_037653.1	1088976	1091498	rna-XM_001122097.5	1.111e-05
NC_037653.1	1091563	1092096	rna-XM_001122097.5	1.116e-05
NC_037640.1	2795	2908	rna-XR_003304316.1	1.163e-05
NC_037638.1	5648362	5648650	rna-XM_026445103.1	1.178e-05
NC_037647.1	4861195	4861316	rna-XM_003250026.3	1.197e-05
NC_037651.1	2308982	2309143	rna-XM_016916157.2	1.198e-05
NC_037646.1	2827124	2827209	rna-XM_026442923.1	1.215e-05
NC_037652.1	7885583	7885937	rna-XM_026445395.1	1.292e-05
NC_037644.1	2086045	2086108	rna-XM_006559811.3	1.295e-05
NC_037646.1	2827097	2827209	rna-XM_026442920.1	1.381e-05
NC_037647.1	11919854	11919985	rna-XM_026443100.1	1.430e-05
NC_037640.1	3150	3317	rna-XR_003304316.1	1.516e-05
NC_037643.1	9018765	9018881	rna-XM_026441363.1	1.549e-05
NC_037638.1	26199843	26200130	rna-XM_026446186.1	1.568e-05
NC_037653.1	1083595	1083835	rna-XM_006557686.3	1.574e-05
NC_037642.1	5881164	5881319	rna-XM_006562134.3	1.579e-05
NC_037647.1	8096673	8097036	rna-XM_003250421.4	1.761e-05
NC_037645.1	8769269	8769517	rna-XM_026442280.1	1.825e-05
NC_037648.1	6618178	6618318	rna-XM_625198.6	1.879e-05
NC_037651.1	4622697	4622906	rna-XM_003249612.4	1.881e-05
NC_037645.1	8768416	8768574	rna-XM_026442280.1	1.884e-05
NC_037646.1	10894872	10894987	rna-XM_394781.7	1.892e-05
NC_037647.1	11919553	11919738	rna-XM_026443100.1	1.956e-05
NC_037648.1	15936010	15936021	rna-XM_006570384.3	1.975e-05
NC_037642.1	10811411	10811626	rna-XM_026441068.1	1.994e-05
NC_037638.1	11122294	11122357	rna-XM_624519.5	2.018e-05
NC_037640.1	2795	2905	rna-XR_003304317.1	2.079e-05
NC_037642.1	9542952	9543065	rna-XM_395223.7	2.100e-05
NC_037653.1	1100773	1100900	rna-XM_006557704.3	2.186e-05
NC_037652.1	3713848	3713896	rna-XM_026445378.1	2.202e-05
NC_037638.1	15873966	15874343	rna-XM_393186.7	2.312e-05
NC_037638.1	35152	35175	rna-XM_016917667.2	2.360e-05
NC_037643.1	9020158	9020317	rna-XM_026441363.1	2.384e-05
NC_037642.1	10815025	10815063	rna-XM_026441068.1	2.395e-05
NC_037643.1	9018972	9020033	rna-XM_026441363.1	2.422e-05
NC_037647.1	11919295	11919462	rna-XM_026443100.1	2.476e-05
NW_020555822.1	13970	14639	rna-XR_003306373.1	2.512e-05
NC_037638.1	15874420	15874974	rna-XM_393186.7	2.518e-05
NC_037646.1	5812979	5813038	rna-XM_394952.7	2.524e-05
NC_037640.1	8165554	8165812	rna-XM_006563936.2	2.538e-05
NC_037646.1	12016360	12016428	rna-XM_026443026.1	2.554e-05
NC_037648.1	2908019	2908093	rna-XM_006559012.3	2.657e-05
NC_037638.1	26204381	26204510	rna-XM_026446186.1	2.717e-05
NC_037645.1	1309438	1309682	rna-XM_006558195.3	2.749e-05
NC_037642.1	5166799	5166969	rna-XM_006562180.3	2.765e-05
NC_037640.1	6245746	6245934	rna-XM_026439665.1	2.882e-05
NC_037641.1	12144375	12144612	rna-XM_625028.6	2.956e-05
NC_037648.1	6566537	6566770	rna-XR_003305697.1	3.004e-05
NC_037647.1	10012307	10012321	rna-XM_026443255.1	3.055e-05
NC_037653.1	1083574	1083835	rna-XM_393344.7	3.058e-05
NC_037653.1	1083195	1083505	rna-XM_393344.7	3.099e-05
NC_037639.1	650978	651115	rna-XM_006558101.3	3.150e-05
NC_037645.1	9970102	9970631	rna-XM_006568066.3	3.180e-05
NC_037644.1	2960623	2960904	rna-XM_006560136.3	3.199e-05
NC_037643.1	14155064	14155845	rna-XM_006570500.3	3.337e-05
NC_037645.1	8786180	8786332	rna-XM_026442287.1	3.470e-05
NC_037645.1	8767312	8767458	rna-XM_026442280.1	3.598e-05
NC_037641.1	10786542	10786664	rna-XM_026440227.1	3.631e-05
NC_037651.1	7895811	7896148	rna-XM_625151.6	3.726e-05
NC_037652.1	2236722	2237287	rna-XM_006559032.3	3.836e-05
NC_037638.1	14868296	14868481	rna-XM_016911386.2	4.212e-05
NC_037650.1	5749047	5749230	rna-XR_001705345.2	4.262e-05
NC_037638.1	5647431	5647510	rna-XM_394882.7	4.310e-05
NC_037638.1	26206497	26206946	rna-XM_006571698.3	4.546e-05
NC_037641.1	2008378	2008614	rna-XM_026440382.1	4.830e-05
NC_037652.1	1945231	1945336	rna-NM_001040227.1	4.851e-05
NC_037652.1	7190860	7190950	rna-XM_392065.7	5.002e-05
NC_037638.1	11121868	11122068	rna-XM_624519.5	5.005e-05
NC_037645.1	1298352	1298535	rna-XM_394713.7	5.052e-05
NC_037645.1	1298145	1298276	rna-XM_394713.7	5.086e-05
NC_037651.1	7190885	7191016	rna-XM_026444964.1	5.253e-05
NC_037638.1	2490277	2490549	rna-XM_006559863.3	5.373e-05
NC_037652.1	2217461	2217617	rna-XM_016916863.2	5.404e-05
NC_037650.1	11160850	11161321	rna-XM_006568075.3	5.801e-05
NC_037649.1	8077349	8077477	rna-XM_006565205.3	5.882e-05
NC_037641.1	11086665	11087155	rna-XM_003250945.4	6.046e-05
NC_037652.1	3808321	3808484	rna-XM_016916654.2	6.059e-05
NC_037653.1	1092179	1092759	rna-XM_001122097.5	6.081e-05
NC_037641.1	2106085	2106199	rna-XM_026440369.1	6.250e-05
NC_037650.1	10679763	10680484	rna-XM_006565003.3	6.653e-05
NC_037645.1	1298630	1298823	rna-XM_394713.7	6.654e-05
NC_037651.1	8297689	8298005	rna-XM_001120242.5	6.802e-05
NC_037652.1	5155326	5155728	rna-XM_026445542.1	6.875e-05
NC_037653.1	1083930	1083963	rna-XM_393344.7	7.152e-05
NC_037650.1	5967373	5967543	rna-XM_016915822.2	7.175e-05
NC_037641.1	8033902	8034495	rna-XM_016911914.2	7.217e-05
NC_037649.1	6022851	6022969	rna-XM_026444448.1	7.336e-05
NC_037645.1	9968370	9968535	rna-XM_006568066.3	7.339e-05
NC_037653.1	1100984	1101420	rna-XM_006557704.3	7.714e-05
NC_037638.1	11483019	11483535	rna-XR_003304252.1	7.846e-05
NC_037647.1	11506806	11507165	rna-NM_001098223.1	7.886e-05
NC_037641.1	2049850	2050013	rna-XR_003304590.1	7.901e-05
NC_037638.1	33705	33776	rna-XM_016917672.2	7.993e-05
NC_037643.1	9018344	9018516	rna-XM_026441363.1	8.280e-05
NC_037645.1	5894362	5894673	rna-XM_016913538.2	8.438e-05
NC_037638.1	2194823	2195215	rna-XM_026442190.1	8.474e-05
NC_037652.1	9292482	9292638	rna-XM_001120441.5	8.496e-05
NC_037641.1	10273157	10273222	rna-XM_395226.7	8.505e-05
