chrom	start	end	gene	n_c	n_k	psi_c	psi_k	dpsi	ncpg_c	meth_c	ncpg_k	meth_k	dmeth	junc_total	psi_112c	psi_114c	psi_115c	psi_131c	psi_136c	psi_138c	psi_187t	psi_196t	psi_198t	psi_205t	psi_212t	psi_214t
NC_037638.1	31581	31788	rna-XM_016917672.2	6	6	1.0	1.0	0.0	10	1.5	10	0.25	-1.25	2700	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	32433	32616	rna-XM_016917672.2	6	6	1.0	0.9993886591366037	-0.0006113408633963147	5	65.18	5	68.36	3.1799999999999926	5094	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9985	0.9979	1.0000	1.0000
NC_037638.1	33705	33776	rna-XM_016917672.2	6	6	0.5355540055129798	0.5686359488780971	0.03308194336511727	1	67.6	1	79.2	11.600000000000009	5070	0.4791	0.4780	0.5495	0.4967	0.5977	0.6124	0.4497	0.5656	0.6587	0.5717	0.4940	0.6720
NC_037638.1	36288	36511	rna-XM_016917672.2	6	6	1.0	1.0	0.0	4	64.175	4	65.35	1.1749999999999972	4847	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	36586	36919	rna-XM_016917672.2	6	6	1.0	0.9997489959839357	-0.00025100401606426015	5	48.3	5	41.98	-6.32	5604	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9985	1.0000	1.0000	1.0000
NC_037638.1	38219	38348	rna-XM_016917662.2	6	6	1.0	0.9996069182389937	-0.00039308176100627534	5	40.78	5	48.14	7.359999999999999	3813	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9976	1.0000	1.0000	1.0000
NC_037638.1	35152	35175	rna-XM_016917667.2	6	6	0.0620118139087188	0.035458603476115735	-0.026553210432603065	1	100.0	1	80.0	-20.0	5104	0.0710	0.0535	0.0810	0.0446	0.0665	0.0555	0.0380	0.0311	0.0310	0.0346	0.0469	0.0311
NC_037638.1	40485	40711	rna-XM_394142.7	5	6	1.0	1.0	0.0	7	81.1429	7	75.3	-5.8429	259	1.0000	1.0000	1.0000	1.0000	1.0000		1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	40778	41054	rna-XM_394142.7	6	6	1.0	1.0	0.0	3	86.2333	3	73.8333	-12.400000000000006	332	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	41119	41263	rna-XM_394142.7	6	6	1.0	1.0	0.0	2	48.9	1	60.0	11.100000000000001	316	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	43325	43397	rna-XM_392111.7	6	6	0.9994717379820391	0.9979439338918107	-0.0015278040902284573	0	0.0	0	0.0	0.0	9289	1.0000	0.9968	1.0000	1.0000	1.0000	1.0000	0.9940	0.9978	1.0000	0.9978	1.0000	0.9980
NC_037638.1	43485	43652	rna-XM_392111.7	6	6	0.9995998399359743	0.9984159798997441	-0.0011838600362302776	2	73.85	2	83.35	9.5	11939	1.0000	0.9976	1.0000	1.0000	1.0000	1.0000	0.9954	0.9984	1.0000	0.9983	1.0000	0.9985
NC_037638.1	43757	43857	rna-XM_392111.7	6	6	0.999632892804699	0.9991951662980293	-0.00043772650666973334	2	68.75	2	65.5	-3.25	13120	1.0000	0.9978	1.0000	1.0000	1.0000	1.0000	0.9959	0.9993	1.0000	1.0000	1.0000	1.0000
NC_037638.1	43924	44004	rna-XM_392111.7	6	6	0.99867581943083	0.9981954840536716	-0.000480335377158303	0	0.0	0	0.0	0.0	14460	0.9981	0.9968	1.0000	0.9972	1.0000	1.0000	0.9936	0.9994	0.9984	1.0000	0.9991	0.9987
NC_037638.1	44089	44219	rna-XM_392111.7	6	6	0.9996301899170486	0.9992185671045432	-0.0004116228125053967	1	96.7	1	100.0	3.299999999999997	13621	0.9990	0.9988	1.0000	1.0000	1.0000	1.0000	0.9960	0.9993	1.0000	1.0000	1.0000	1.0000
NC_037638.1	44303	44411	rna-XM_392111.7	6	6	0.9998074330829964	0.9992488644458682	-0.0005585686371281096	4	70.125	4	78.9	8.775000000000006	13818	1.0000	0.9988	1.0000	1.0000	1.0000	1.0000	0.9962	0.9993	1.0000	1.0000	1.0000	1.0000
NC_037638.1	44519	44659	rna-XM_392111.7	6	6	0.9998451053283768	0.9993227935382191	-0.0005223117901577146	6	34.9167	6	40.8667	5.950000000000003	16125	1.0000	0.9991	1.0000	1.0000	1.0000	1.0000	0.9965	0.9994	1.0000	1.0000	1.0000	1.0000
NC_037638.1	44734	45009	rna-XM_392111.7	6	6	0.9998263888888889	0.9992420363388105	-0.0005843525500783819	6	75.2333	6	72.3667	-2.8666000000000054	14412	1.0000	0.9990	1.0000	1.0000	1.0000	1.0000	0.9961	0.9993	1.0000	1.0000	1.0000	1.0000
NC_037638.1	46834	47910	rna-XM_016910856.2	6	6	0.9974937343358397	1.0	0.0025062656641603454	70	0.4157	70	0.25	-0.16570000000000001	766	1.0000	0.9850	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	104971	105659	rna-XM_006557392.2	6	6	0.9909996615686395	0.9903427287653721	-0.000656932803267396	42	0.4	42	0.8429	0.44289999999999996	1807	0.9884	1.0000	0.9940	0.9878	0.9831	0.9928	0.9903	0.9933	0.9903	0.9886	0.9795	1.0000
NC_037638.1	107012	107270	rna-XM_006557392.2	6	6	0.9957541125256584	0.9943929633010874	-0.0013611492245709789	7	0.4571	7	0.0	-0.4571	2044	0.9951	1.0000	0.9946	0.9948	0.9900	1.0000	0.9915	0.9945	0.9915	0.9946	0.9943	1.0000
NC_037638.1	107398	107498	rna-XM_006557392.2	6	6	0.9962019833809896	0.9949340286660459	-0.0012679547149437864	4	2.2	4	0.0	-2.2	2277	0.9955	1.0000	0.9948	0.9957	0.9913	1.0000	0.9927	0.9945	0.9925	0.9948	0.9951	1.0000
NC_037638.1	111547	111690	rna-XM_026443863.1	6	6	0.9988799508407352	0.997144813937969	-0.0017351369027661656	2	7.35	2	0.0	-7.35	4725	0.9970	1.0000	0.9963	1.0000	1.0000	1.0000	0.9928	0.9982	0.9977	0.9978	0.9981	0.9983
NC_037638.1	113847	114028	rna-XM_006557388.1	6	6	0.9934331240946402	0.9862385939263031	-0.007194530168337154	1	85.7	1	100.0	14.299999999999997	938	0.9817	1.0000	0.9789	1.0000	1.0000	1.0000	0.9658	0.9926	0.9878	0.9882	0.9897	0.9932
NC_037638.1	114097	114300	rna-XM_006557388.1	6	6	0.9927114280055456	0.9789621253285176	-0.013749302677028008	2	39.45	2	55.55	16.099999999999994	885	0.9798	1.0000	0.9765	1.0000	1.0000	1.0000	0.9469	0.9918	0.9879	0.9651	0.9892	0.9929
NC_037638.1	114396	114571	rna-XM_006557388.1	6	6	0.9937812009699044	0.9828710656907284	-0.010910135279176059	1	76.0	1	90.9	14.900000000000006	898	0.9837	1.0000	0.9789	1.0000	1.0000	1.0000	0.9459	0.9921	0.9880	0.9893	0.9887	0.9932
NC_037638.1	114646	114768	rna-XM_006557388.1	6	6	0.9947825737964803	0.9837501220844412	-0.011032451712039038	3	55.8667	3	64.4	8.533300000000004	1004	0.9864	1.0000	0.9823	1.0000	1.0000	1.0000	0.9487	0.9926	0.9874	0.9905	0.9888	0.9944
NC_037638.1	114884	115092	rna-XM_006557388.1	6	6	0.9940111719841015	0.985004125653965	-0.009007046330136492	1	81.8	1	90.9	9.100000000000009	864	0.9828	1.0000	0.9813	1.0000	1.0000	1.0000	0.9649	0.9906	0.9852	0.9894	0.9867	0.9933
NC_037638.1	115170	115379	rna-XM_006557388.1	6	6	0.9910186859553948	0.9810344986694063	-0.009984187285988488	1	94.7	1	100.0	5.299999999999997	656	0.9747	1.0000	0.9714	1.0000	1.0000	1.0000	0.9565	0.9892	0.9831	0.9860	0.9815	0.9899
NC_037638.1	115458	115637	rna-XM_006557388.1	6	6	0.9896946275668713	0.9755555064396572	-0.01413912112721416	1	54.5	1	81.8	27.299999999999997	586	0.9759	1.0000	0.9623	1.0000	1.0000	1.0000	0.9524	0.9873	0.9815	0.9829	0.9813	0.9679
NC_037638.1	115700	115923	rna-XM_006557388.1	6	6	0.9902350561484271	0.9779606531384831	-0.01227440300994398	0	0.0	0	0.0	0.0	532	0.9753	1.0000	0.9661	1.0000	1.0000	1.0000	0.9574	0.9845	0.9706	0.9832	0.9825	0.9896
NC_037638.1	115985	116103	rna-XM_006557388.1	6	6	0.9908400777965994	0.9807634369005958	-0.010076640896003686	2	71.95	2	77.9	5.950000000000003	637	0.9740	1.0000	0.9710	1.0000	1.0000	1.0000	0.9588	0.9880	0.9773	0.9851	0.9844	0.9911
NC_037638.1	116186	116306	rna-XM_006557388.1	6	6	0.986303284416492	0.9727090398213393	-0.013594244595152682	1	39.1	1	25.0	-14.100000000000001	456	0.9623	1.0000	0.9556	1.0000	1.0000	1.0000	0.9333	0.9835	0.9778	0.9765	0.9780	0.9872
NC_037638.1	117752	118101	rna-XM_392109.6	6	6	0.9969135802469135	0.9830374539536475	-0.013876126293265956	7	79.3571	7	79.6714	0.3143000000000029	706	1.0000	1.0000	0.9815	1.0000	1.0000	1.0000	0.9604	0.9864	0.9798	1.0000	0.9844	0.9873
NC_037638.1	118226	118369	rna-XM_006557391.3	6	6	0.9956140350877193	0.9828825713557766	-0.012731463731942672	3	78.1	3	75.7667	-2.333299999999994	646	1.0000	1.0000	0.9737	1.0000	1.0000	1.0000	0.9481	0.9845	0.9783	1.0000	1.0000	0.9865
NC_037638.1	119257	119486	rna-XM_016910832.2	6	6	0.8252692795976907	0.7737116830303362	-0.05155759656735448	8	52.5625	8	50.75	-1.8125	1399	0.8218	0.7069	0.8303	0.8590	0.8894	0.8442	0.7986	0.7956	0.7157	0.7500	0.7500	0.8324
NC_037638.1	120096	120396	rna-XM_016910832.2	6	6	1.0	0.9989775051124745	-0.0010224948875254825	3	5.8667	3	10.6	4.7333	1637	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9939	1.0000	1.0000	1.0000	1.0000
NC_037638.1	120460	120618	rna-XM_016910832.2	6	6	1.0	0.9989615784008308	-0.0010384215991692258	7	1.1857	7	0.0	-1.1857	1516	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9938	1.0000	1.0000	1.0000	1.0000
NC_037638.1	120685	120925	rna-XM_016910832.2	6	6	1.0	0.9990366088631984	-0.0009633911368015502	5	16.26	5	23.8	7.539999999999999	1459	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9942	1.0000	1.0000	1.0000	1.0000
NC_037638.1	121012	121209	rna-XM_016910832.2	6	6	1.0	1.0	0.0	3	26.4	1	72.7	46.300000000000004	1574	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	121286	121470	rna-XM_016910832.2	6	6	1.0	1.0	0.0	4	3.575	4	9.225	5.6499999999999995	1763	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	118223	118369	rna-XM_016910832.2	6	6	0.9977477477477477	0.9907925773534912	-0.006955170394256416	3	78.1	3	75.7667	-2.333299999999994	1141	1.0000	1.0000	0.9865	1.0000	1.0000	1.0000	0.9737	0.9913	0.9878	1.0000	1.0000	0.9920
NC_037638.1	124436	124557	rna-XM_394140.7	6	6	1.0	1.0	0.0	4	89.025	4	94.475	5.449999999999989	5541	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	124645	124763	rna-XM_394140.7	6	6	1.0	1.0	0.0	1	6.7	1	0.0	-6.7	3353	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	135437	135710	rna-XM_016910810.2	6	6	1.0	0.9989615784008308	-0.0010384215991692258	15	1.2267	15	1.3667	0.14000000000000012	2027	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9938	1.0000
NC_037638.1	135836	136684	rna-XM_016910810.2	6	6	1.0	0.9988888888888888	-0.0011111111111111738	56	0.1393	56	0.6946	0.5553	1825	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9933	1.0000
NC_037638.1	136875	137070	rna-XM_016910810.2	6	6	1.0	0.9989281886387995	-0.001071811361200492	12	0.0	12	0.0	0.0	1921	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9936	1.0000
NC_037638.1	137281	137564	rna-XM_016910810.2	6	6	0.9901020875193492	0.9946711738560006	0.004569086336651318	23	0.8304	23	0.1609	-0.6695	1574	0.9939	0.9855	0.9934	0.9808	0.9871	1.0000	0.9866	1.0000	0.9894	1.0000	0.9920	1.0000
NC_037638.1	137682	137852	rna-XM_016910810.2	6	6	0.9782219367526418	0.983360979265597	0.005139042512955161	10	1.51	10	0.0	-1.51	1428	0.9863	0.9764	0.9855	0.9736	0.9782	0.9695	0.9699	0.9891	0.9653	1.0000	0.9903	0.9855
NC_037638.1	141278	141415	rna-XM_016910810.2	6	6	0.9914453148397934	0.983727834995928	-0.0077174798438653935	10	0.33	10	1.32	0.99	1469	1.0000	0.9773	0.9930	1.0000	0.9857	0.9928	0.9697	0.9902	0.9767	1.0000	0.9821	0.9835
NC_037638.1	141660	141802	rna-XM_016910810.2	6	6	0.9948673001575973	0.9912579628776493	-0.003609337279947944	8	0.45	8	0.0	-0.45	1482	1.0000	0.9833	0.9930	1.0000	0.9930	1.0000	0.9839	0.9895	0.9895	1.0000	0.9847	1.0000
NC_037638.1	147742	147854	rna-XM_016910810.2	6	6	0.9975669099756691	1.0	0.0024330900243308973	7	1.1143	7	0.0	-1.1143	1410	0.9854	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	199615	199818	rna-XM_006557379.3	6	6	0.06305968560099166	0.05302081883862087	-0.010038866762370792	24	0.1417	24	0.0	-0.1417	1353	0.0650	0.0427	0.0650	0.0556	0.0645	0.0855	0.0256	0.0539	0.0943	0.0400	0.0574	0.0469
NC_037638.1	222323	222488	rna-XM_001122271.5	6	6	0.872570522540189	0.889428484944578	0.016857962404389082	14	0.4	14	0.0	-0.4	367	0.9070	0.9565	0.8667	0.9636	0.9200	0.6216	1.0000	0.8182	0.8868	0.8400	0.9059	0.8857
NC_037638.1	242901	243161	rna-XM_394248.6	6	6	0.9666666666666667	0.9019826257531176	-0.06468404091354907	5	0.0	5	0.0	0.0	285	1.0000	1.0000	0.9429	1.0000	1.0000	0.8571	1.0000	0.8333	0.8000	0.8769	1.0000	0.9016
NC_037638.1	243240	243457	rna-XM_394248.6	6	6	0.9558319039451114	0.8907080624335206	-0.06512384151159079	3	13.1333	3	7.4	-5.7333	308	1.0000	1.0000	0.9623	1.0000	1.0000	0.7727	0.9259	0.8113	0.8182	0.8841	1.0000	0.9048
NC_037638.1	243535	243678	rna-XM_394248.6	6	6	0.9413807189542484	0.8919198004575867	-0.04946091849666168	2	12.55	2	16.25	3.6999999999999993	287	1.0000	1.0000	0.9608	1.0000	1.0000	0.6875	0.9310	0.8305	0.8261	0.8750	1.0000	0.8889
NC_037638.1	243749	243864	rna-XM_394248.6	6	6	0.9404761904761906	0.9095745969321962	-0.030901593543994355	1	16.7	1	57.1	40.400000000000006	305	1.0000	1.0000	1.0000	1.0000	1.0000	0.6429	0.9231	0.8361	0.9231	0.8769	1.0000	0.8983
NC_037638.1	243958	244098	rna-XM_394248.6	6	6	0.9669312169312169	0.9161468266148537	-0.05078439031636317	5	1.04	5	0.0	-1.04	295	1.0000	1.0000	0.9683	1.0000	1.0000	0.8333	0.9130	0.8113	1.0000	0.8621	1.0000	0.9104
NC_037638.1	244676	244841	rna-XM_394248.6	6	6	0.9696545284780579	0.8867618492618493	-0.08289267921620858	1	88.2	1	87.5	-0.7000000000000028	302	1.0000	1.0000	0.9608	1.0000	1.0000	0.8571	0.9545	0.7500	0.8333	0.8750	1.0000	0.9077
NC_037638.1	419561	419675	rna-XM_026446231.1	5	5	0.5328184171600043	0.5609975447406675	0.02817912758066321	3	0.0	3	0.0	0.0	192	0.6170	0.5349	0.5833		0.5652	0.3636	0.6522	0.3684	0.6429		0.6522	0.4894
NC_037638.1	419747	419937	rna-XM_026446231.1	5	6	0.551197961458831	0.6337200901015768	0.08252212864274577	9	0.3778	9	1.2333	0.8555	189	0.6400	0.5333	0.4783		0.6429	0.4615	0.6522	0.3455	0.6774	0.7273	0.8286	0.5714
NC_037638.1	420021	420449	rna-XM_026446231.1	6	5	0.5676314085749793	0.5530226846997033	-0.014608723875276008	12	42.25	12	36.2917	-5.958300000000001	171	0.6170	0.5758	0.5714	0.6364	0.5652	0.4400		0.2174	0.5455	0.7143	0.7778	0.5102
NC_037638.1	421360	422132	rna-XM_026446231.1	6	6	0.4848594642072903	0.5414888010540184	0.05662933684672811	30	0.0867	30	0.5633	0.4766	232	0.3939	0.2500	0.5000	0.6000	0.6000	0.5652	0.3043	0.7391	0.5000	0.7600	0.4909	0.4545
NC_037638.1	422205	422575	rna-XM_026446231.1	6	6	0.5105955402804921	0.5893424349551196	0.07874689467462748	20	1.235	20	1.345	0.10999999999999988	257	0.4737	0.3182	0.5833	0.5200	0.5909	0.5775	0.3846	0.7333	0.5918	0.7778	0.5172	0.5312
NC_037638.1	264714	265400	rna-XM_026446240.1	6	6	0.9191698804566144	0.8871595144487318	-0.03201036600788265	69	0.6522	69	0.3145	-0.3377	702	0.9434	0.9008	0.9406	0.9070	0.9200	0.9032	0.8824	0.8947	0.8889	0.8471	0.8974	0.9124
NC_037638.1	392512	392804	rna-XM_003249064.4	6	6	0.9174180564600767	0.8860814074269818	-0.031336649033094854	26	0.9692	26	1.7192	0.7500000000000001	555	0.9381	0.8909	0.9277	0.9208	0.8901	0.9368	0.9143	0.9055	0.8723	0.8197	0.9158	0.8889
NC_037638.1	392994	393413	rna-XM_003249064.4	6	6	0.922453429960639	0.8955818248141051	-0.02687160514653386	37	0.1135	37	0.7162	0.6026999999999999	608	0.9469	0.9048	0.9326	0.9316	0.8701	0.9487	0.9167	0.9008	0.8889	0.8226	0.9200	0.9245
NC_037638.1	447222	447570	rna-XM_016918147.2	5	5	0.9830687830687831	0.980952380952381	-0.002116402116402072	28	0.1321	28	0.3929	0.26080000000000003	189	0.9524	0.9630	1.0000	1.0000	1.0000		0.9048	1.0000		1.0000	1.0000	1.0000
NC_037638.1	452544	452654	rna-XM_016918147.2	6	6	0.9907300856667945	0.9863718537060215	-0.004358231960773007	7	0.0	7	2.5286	2.5286	355	0.9697	0.9747	1.0000	1.0000	1.0000	1.0000	0.9608	1.0000	0.9574	1.0000	1.0000	1.0000
NC_037638.1	452835	452913	rna-XM_016918147.2	6	6	0.9907041015011621	0.9878688524590163	-0.0028352490421457155	8	0.0	8	0.0	0.0	364	0.9672	0.9770	1.0000	1.0000	1.0000	1.0000	0.9600	1.0000	0.9672	1.0000	1.0000	1.0000
NC_037638.1	476528	476724	rna-XM_006557372.3	6	6	0.9918912442970852	0.9911435307987032	-0.0007477134983819855	21	0.4333	21	1.219	0.7857000000000001	820	0.9843	0.9787	1.0000	1.0000	0.9884	1.0000	0.9808	1.0000	0.9833	0.9828	1.0000	1.0000
NC_037638.1	481561	481730	rna-XM_006557372.3	6	6	0.9921662562941869	0.9910653320698545	-0.0011009242243323891	12	0.2667	12	1.4167	1.1500000000000001	841	0.9873	0.9787	1.0000	1.0000	0.9870	1.0000	0.9806	1.0000	0.9828	0.9831	1.0000	1.0000
NC_037638.1	481992	482299	rna-XM_006557372.3	6	6	0.989311625067439	0.9880276044653274	-0.0012840206021115241	29	0.2069	29	1.1	0.8931000000000001	645	0.9821	0.9692	1.0000	1.0000	0.9845	1.0000	0.9770	1.0000	0.9765	0.9747	1.0000	1.0000
NC_037638.1	482872	483112	rna-XM_016918147.2	6	6	0.981448011086122	0.97431675242996	-0.007131258656162043	26	0.1654	26	1.0346	0.8692	363	0.9701	0.9452	1.0000	1.0000	0.9733	1.0000	0.9623	1.0000	0.9200	0.9636	1.0000	1.0000
NC_037638.1	482890	483112	rna-XM_006557372.3	6	6	0.9893646692096304	0.9885162678247408	-0.0008484013848896188	25	0.172	25	1.076	0.9040000000000001	663	0.9815	0.9690	1.0000	1.0000	0.9857	1.0000	0.9787	1.0000	0.9759	0.9765	1.0000	1.0000
NC_037638.1	816993	817237	rna-XM_394245.6	6	6	0.9886557515583599	0.992776578563133	0.004120827004773009	4	65.925	4	70.375	4.450000000000003	2665	0.9946	0.9889	0.9872	0.9961	0.9881	0.9770	1.0000	1.0000	0.9839	0.9766	0.9962	1.0000
NC_037638.1	817561	817711	rna-XM_394245.6	6	6	0.9764010580484407	0.9789206718334874	0.002519613785046726	6	88.95	6	85.05	-3.9000000000000057	2828	0.9725	0.9806	0.9699	0.9763	0.9847	0.9743	0.9724	0.9812	0.9609	0.9794	0.9856	0.9940
NC_037638.1	868008	868407	rna-XM_001122476.5	6	6	1.0	0.9950248756218905	-0.004975124378109541	6	62.3167	6	72.8833	10.566600000000008	361	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9701	1.0000	1.0000
NC_037638.1	1000333	1000447	rna-XM_006557359.3	6	6	0.7724590704741795	0.5828571966286574	-0.18960187384552207	6	0.0	6	0.0	0.0	5325	0.7894	0.7424	0.7491	0.7299	0.8395	0.7845	0.5856	0.5513	0.5595	0.6573	0.6176	0.5258
NC_037638.1	1006939	1007333	rna-XM_016917834.2	6	6	1.0	1.0	0.0	35	0.7486	35	0.9886	0.24	401	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	1007665	1007921	rna-XM_016917834.2	5	6	1.0	0.9954954954954954	-0.0045045045045045695	16	0.8625	16	0.4813	-0.38120000000000004	290	1.0000	1.0000	1.0000	1.0000	1.0000		1.0000	1.0000	1.0000	1.0000	1.0000	0.9730
NC_037638.1	1032010	1032188	rna-XM_026446332.1	6	6	1.0	1.0	0.0	2	74.5	2	71.85	-2.6500000000000057	2016	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	1032265	1032511	rna-XM_026446332.1	6	6	1.0	1.0	0.0	5	64.88	5	66.1	1.2199999999999989	1996	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	1032572	1032770	rna-XM_026446332.1	6	6	0.9985052316890881	1.0	0.001494768310911887	3	46.7667	3	45.5667	-1.2000000000000028	1670	0.9910	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	1032854	1033079	rna-XM_026446332.1	6	6	0.9975351857881978	1.0	0.0024648142118022243	4	35.8	4	39.0	3.200000000000003	1732	0.9920	1.0000	0.9932	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	1033166	1033310	rna-XM_026446332.1	6	6	0.9978588857957865	1.0	0.002141114204213479	1	0.0	1	0.0	0.0	1979	0.9937	1.0000	0.9934	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
NC_037638.1	1033373	1033623	rna-XM_026446332.1	6	6	0.9981017586253188	1.0	0.0018982413746811977	7	8.1429	7	17.9429	9.800000000000002	2148	0.9948	1.0000	0.9938	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
